precipitation,temp_max,temp_min,wind,weather
0,12.8,5,4.7,1
0,6.7,-2.2,1.4,1
0,7.2,0.6,1.8,1
0,12.8,6.1,4.3,1
0,15,3.9,4,1
0,16.1,8.3,2.5,1
0,24.4,9.4,4.1,1
0,19.4,9.4,2,1
0,24.4,10.6,3.1,1
0,23.9,11.1,2.3,1
0,27.8,13.3,2.9,1
0,25.6,13.3,2.7,1
0,25.6,12.8,2.2,1
0,18.9,13.9,2.8,1
0,22.2,13.3,1.7,1
0,23.9,13.3,2.2,1
0,21.1,15,2.6,1
0,24.4,14.4,3.8,1
0,21.7,14.4,3,1
0,23.3,15,2.7,1
0,27.8,11.7,2.2,1
0,23.9,11.7,1.9,1
0,19.4,10,2.5,1
0,16.1,12.8,2.1,1
0,19.4,10,1.4,1
10.9,10.6,2.8,4.5,2
0.8,11.7,7.2,2.3,2
20.3,12.2,5.6,4.7,2
1.3,8.9,2.8,6.1,2
2.5,4.4,2.2,2.2,2
0,7.2,2.8,2.3,2
4.3,9.4,5,3.4,2
1,6.1,0.6,3.4,2
3,8.3,3.3,8.2,2
6.1,6.7,2.2,4.8,2
0,8.3,1.1,3.6,2
8.6,10,2.2,5.1,2
8.1,8.9,4.4,5.4,2
4.8,8.9,1.1,4.8,2
0,6.7,0.6,2.2,2
27.7,9.4,3.9,4.5,2
3.6,8.3,6.1,5.1,2
1.8,9.4,6.1,3.9,2
13.5,8.9,3.3,2.7,2
0.3,15.6,7.8,5.3,2
2.8,10,5,2.7,2
2.5,11.1,7.8,2.4,2
2.5,12.8,6.7,3,2
0.8,8.9,5.6,3.4,2
1,8.3,5,1.3,2
4.1,4.4,0.6,5.3,3
5.3,1.1,-3.3,3.2,3
2.5,1.7,-2.8,5,3
8.1,3.3,0,5.6,3
19.8,0,-2.8,5,3
15.2,-1.1,-2.8,1.6,3
13.5,7.2,-1.1,2.3,3
1.3,5,-1.1,3.4,3
3.6,6.7,-0.6,4.2,3
0.8,5,1.1,7,3
0.5,6.7,0,2.7,3
19.3,8.3,0.6,6.2,3
9.4,5.6,0.6,5.3,3
23.9,11.1,5.6,5.8,3
9.4,10,0.6,3.8,3
4.6,9.4,2.8,1.8,3
5.3,4.4,0.6,5.1,3
22.6,6.7,3.3,5.5,3
3.3,3.9,0.6,5.3,3
13.7,8.3,1.7,5.8,3
13.5,5.6,2.8,4.2,3
0.3,3.3,-0.6,2.1,3
8.1,10,2.2,4.9,3
5.6,8.3,0.6,3.7,3
5.1,5.6,-0.5,4.6,3
0,10,2.8,2,4
0,6.1,-1.1,5.1,4
0,6.1,-1.7,1.9,4
0,5,-2.8,1.3,4
0,8.3,1.7,2.6,4
0,14.4,2.2,5.3,4
0,15.6,5,4.3,4
0,13.9,1.7,2.9,4
0,16.1,1.7,5,4
0,6.7,2.2,4.7,4
0,8.3,2.8,3.9,4
0,6.7,-2.2,3,4
0,6.1,1.1,3.1,4
0,12.2,6.7,7,4
0,8.9,-1.7,2.7,4
0,15.6,0.6,2.5,4
0,12.2,0.6,2.8,4
0,15,3.3,5.2,4
0,16.7,4.4,3.1,4
0,10.6,2.8,2.1,4
0,16.1,1.7,4.3,4
0,21.1,7.2,4.1,4
0,20,6.1,2.1,4
0,15.6,3.3,3,4
0,20,4.4,2.3,4
